               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.036284,            0.018236,                   0,             0.84188,                   1,                0.98,             0.55414,            0.032023,           0.0052731,                   0,           0.0043646,           0.0043646,           0.0043646
                  39,            0.036731,            0.018984,                   0,             0.98759,                   1,               0.995,             0.57715,            0.026612,           0.0052963,                   0,           0.0042123,           0.0042123,           0.0042123
                  40,            0.034315,            0.017394,                   0,             0.63476,                   1,             0.80339,             0.40787,            0.041334,           0.0052475,                   0,             0.00406,             0.00406,             0.00406
                  41,            0.039393,             0.01652,                   0,             0.82183,                   1,             0.94031,             0.56853,            0.035377,           0.0050724,                   0,           0.0039077,           0.0039077,           0.0039077
                  42,             0.03779,            0.018226,                   0,              0.9873,                   1,               0.995,             0.65887,             0.03127,           0.0048873,                   0,           0.0037554,           0.0037554,           0.0037554
                  43,            0.037207,            0.015312,                   0,             0.97845,                   1,               0.995,             0.63086,            0.033217,           0.0046228,                   0,           0.0036031,           0.0036031,           0.0036031
                  44,             0.03688,            0.016756,                   0,             0.77838,                   1,             0.91786,             0.55979,            0.030322,           0.0045745,                   0,           0.0034508,           0.0034508,           0.0034508
                  45,            0.036424,            0.015559,                   0,             0.98915,                   1,               0.995,             0.71656,            0.024755,           0.0043308,                   0,           0.0032985,           0.0032985,           0.0032985
                  46,             0.03023,            0.017029,                   0,             0.98992,                   1,               0.995,             0.72316,            0.024619,           0.0042802,                   0,           0.0031462,           0.0031462,           0.0031462
                  47,            0.031555,            0.015563,                   0,             0.99176,                   1,               0.995,              0.7532,            0.022607,           0.0041729,                   0,           0.0029938,           0.0029938,           0.0029938
                  48,            0.031289,            0.016487,                   0,             0.99182,                   1,               0.995,             0.72466,            0.024811,           0.0042561,                   0,           0.0028415,           0.0028415,           0.0028415
                  49,            0.030264,            0.014298,                   0,             0.99174,                   1,               0.995,             0.72145,            0.023769,           0.0041881,                   0,           0.0026892,           0.0026892,           0.0026892
                  50,            0.030671,            0.014369,                   0,             0.99244,                   1,               0.995,             0.71343,            0.025331,           0.0041856,                   0,           0.0025369,           0.0025369,           0.0025369
